Type,Slice,X,Y,Value,C-posZ-pos,Z-pos,T-pos,X (pixel),Y (pixel),Z (pixel)
1,1,1680,6074,47.666668,1,1,1,0.038,0.138,0
1,1,1726,7006,35,1,1,1,0.039,0.159,0
1,1,1736,7338,0,1,1,1,0.039,0.167,0
1,1,2388,7646,56,1,1,1,0.054,0.174,0
1,1,2764,7802,67,1,1,1,0.063,0.177,0
1,1,2900,8272,25.666666,1,1,1,0.066,0.188,0
1,1,3254,7310,51.666668,1,1,1,0.074,0.166,0
1,1,4096,7370,17,1,1,1,0.093,0.167,0
1,1,6178,7706,102.666664,1,1,1,0.14,0.175,0
1,1,6324,7484,37.333332,1,1,1,0.144,0.17,0
1,1,6516,7632,0,1,1,1,0.148,0.173,0
1,1,7368,7328,53.666668,1,1,1,0.167,0.166,0
1,1,7934,7780,53.666668,1,1,1,0.18,0.177,0
1,1,8888,7976,88,1,1,1,0.202,0.181,0
1,1,9002,8114,37,1,1,1,0.204,0.184,0
1,1,9384,7900,50,1,1,1,0.213,0.179,0
1,1,9356,7698,115.333336,1,1,1,0.212,0.175,0
1,1,10240,7534,82,1,1,1,0.232,0.171,0
1,1,10358,7368,61.333332,1,1,1,0.235,0.167,0
1,1,11438,7530,85,1,1,1,0.26,0.171,0
1,1,11988,7294,44.666668,1,1,1,0.272,0.166,0
1,1,12194,7464,104.666664,1,1,1,0.277,0.169,0
1,1,12438,7596,0,1,1,1,0.282,0.172,0
1,1,12324,7820,58,1,1,1,0.28,0.178,0
1,1,12020,8378,51,1,1,1,0.273,0.19,0
1,1,11986,9236,116,1,1,1,0.272,0.21,0
1,1,11044,8930,43.333332,1,1,1,0.251,0.203,0
1,1,9144,8398,63.666668,1,1,1,0.208,0.191,0
1,1,9554,8638,49,1,1,1,0.217,0.196,0
1,1,9798,9160,77.333336,1,1,1,0.222,0.208,0
1,1,8026,8752,83.333336,1,1,1,0.182,0.199,0
1,1,8004,9026,53.666668,1,1,1,0.182,0.205,0
1,1,4820,9120,127.666664,1,1,1,0.109,0.207,0
1,1,4818,9390,44,1,1,1,0.109,0.213,0
1,1,4860,9602,74.333336,1,1,1,0.11,0.218,0
1,1,5346,9604,35.666668,1,1,1,0.121,0.218,0
1,1,5542,9590,48.333332,1,1,1,0.126,0.218,0
1,1,5858,9530,92.666664,1,1,1,0.133,0.216,0
1,1,5858,9354,0,1,1,1,0.133,0.212,0
1,1,5714,9090,0,1,1,1,0.13,0.206,0
1,1,5788,8626,112,1,1,1,0.131,0.196,0
1,1,6050,9458,128.666672,1,1,1,0.137,0.215,0
1,1,6100,9626,65,1,1,1,0.138,0.219,0
1,1,3650,8974,133.666672,1,1,1,0.083,0.204,0
1,1,3018,9358,122.333336,1,1,1,0.069,0.212,0
1,1,2504,9706,109.666664,1,1,1,0.057,0.22,0
1,1,4670,9282,47.333332,1,1,1,0.106,0.211,0
1,1,5140,9776,51,1,1,1,0.117,0.222,0
1,1,5534,9744,40.333332,1,1,1,0.126,0.221,0
